timestamp,session_id,event_type,event_subtype,symbol,side,quantity,price,order_id,grid_level,cycle_id,pnl,fee,fee_asset,risk_level,message,data_json,error
2025-09-26T00:41:42.589101,20250926_004142,signal,fee_payment_recorded,,,,,,,,,,USDT,,,"{""signal_type"": ""fee_payment_recorded"", ""fee_amount"": 1.4234978072250002, ""order_type"": ""LIMIT"", ""total_fees_paid"": 7.168198881675001, ""total_fee_savings"": 0.0, ""payments_count"": 5}",
2025-09-26T00:41:42.592929,20250926_004142,trade,execution,BTCUSDT,BUY,0.013,109499.831325,2927810,-5,,0,,,,,"{""grid_level"": -5, ""timestamp"": ""2025-09-26T00:41:42.592922"", ""trade_type"": ""GRID""}",
2025-09-26T00:41:42.597130,20250926_004142,signal,trade_saved,,BUY,,109499.831325,,,,0.0,,,,,"{""signal_type"": ""trade_saved"", ""trade_id"": ""BUY_-5_1758822102""}",
2025-09-26T14:56:56.742045,20250926_145656,signal,trade_result_recorded,,,,,,,,-7168.198881675,,,,,"{""signal_type"": ""trade_result_recorded"", ""trade_id"": ""STOP_LOSS_0"", ""consecutive_losses"": 1, ""current_drawdown"": 7168.198881675, ""daily_pnl"": -7168.198881675}",
2025-09-26T14:56:56.756811,20250926_145656,error,exception,,,,,,,,,,,,,"{""error"": ""Stop loss execution failed"", ""context"": {""error"": ""keys must be str, int, float, bool or None, not datetime.date""}, ""stack_trace"": null}",Stop loss execution failed
2025-09-26T18:43:43.488737,20250926_184343,signal,fee_calculator_initialized,,,,,,,,,,,,,"{""signal_type"": ""fee_calculator_initialized"", ""maker_fee_pct"": 0.1, ""taker_fee_pct"": 0.1, ""use_fee_discount"": false, ""fee_discount_pct"": 0.0, ""include_fees_in_calculation"": true}",
2025-09-26T18:43:43.494311,20250926_184343,signal,capital_initialized,,,,,,,,,,,,,"{""signal_type"": ""capital_initialized"", ""total_capital"": 11340.5852464, ""capital_per_grid"": 1134.05852464, ""allocation_pct"": 10.0}",
2025-09-26T18:43:43.733149,20250926_184343,signal,volatility_adjustment,,,,,,,,,,,,,"{""signal_type"": ""volatility_adjustment"", ""volatility_ratio"": 0.0012003610701603667, ""regime"": ""very_low"", ""original_spacing_pct"": 0.5, ""adjusted_spacing_pct"": 0.35, ""spacing_multiplier"": 0.7, ""position_multiplier"": 1.1, ""atr_value"": 130.94928571428525, ""current_price"": 109091.58}",
2025-09-26T18:43:43.735868,20250926_184343,signal,grid_generated,,,,,,,,,,,,,"{""signal_type"": ""grid_generated"", ""center_price"": 109091.58, ""total_levels"": 10, ""price_range"": ""107182.48 - 111000.68"", ""spacing_pct"": 0.35}",
2025-09-27T10:01:43.304201,20250927_100143,signal,fee_calculator_initialized,,,,,,,,,,,,,"{""signal_type"": ""fee_calculator_initialized"", ""maker_fee_pct"": 0.1, ""taker_fee_pct"": 0.1, ""use_fee_discount"": false, ""fee_discount_pct"": 0.0, ""include_fees_in_calculation"": true}",
2025-09-27T10:01:43.314305,20250927_100143,signal,technical_indicators_enabled,,,,,,,,,,,,,"{""signal_type"": ""technical_indicators_enabled"", ""rsi_oversold"": 30, ""rsi_overbought"": 70, ""rsi_period"": 14, ""macd_settings"": {""fast"": 12, ""slow"": 26, ""signal"": 9}}",
2025-09-27T10:01:43.318293,20250927_100143,signal,capital_initialized,,,,,,,,,,,,,"{""signal_type"": ""capital_initialized"", ""total_capital"": 11340.5852464, ""capital_per_grid"": 1134.05852464, ""allocation_pct"": 10.0}",
2025-09-27T10:01:43.556390,20250927_100143,signal,volatility_adjustment,,,,,,,,,,,,,"{""signal_type"": ""volatility_adjustment"", ""volatility_ratio"": 0.0004588032581453486, ""regime"": ""very_low"", ""original_spacing_pct"": 0.5, ""adjusted_spacing_pct"": 0.35, ""spacing_multiplier"": 0.7, ""position_multiplier"": 1.1, ""atr_value"": 50.21142857142695, ""current_price"": 109440.0}",
2025-09-27T10:01:43.559628,20250927_100143,signal,grid_generated,,,,,,,,,,,,,"{""signal_type"": ""grid_generated"", ""center_price"": 109440.0, ""total_levels"": 10, ""price_range"": ""107524.80 - 111355.20"", ""spacing_pct"": 0.35}",
2025-09-28T00:00:34.136709,20250928_000034,signal,daily_risk_reset,,,,,,,,,,,,,"{""signal_type"": ""daily_risk_reset"", ""date"": ""2025-09-28"", ""previous_day_pnl"": 0}",
